name,loss,dataset,seed,acc,query
distinctive-galaxy-1327,Poly-tailed Loss,CelebADataModule,8,0.8958333134651184,IW-ES
dulcet-salad-1286,Poly-tailed Loss,CelebADataModule,9,0.8472221493721008,IW-ES
jolly-glade-1285,Cross Entropy,CelebADataModule,9,0.8444443941116333,IW-ES
apricot-cloud-1284,Cross Entropy,CelebADataModule,8,0.8180554509162903,IW-ES
lucky-resonance-1275,Poly-tailed Loss,CelebADataModule,7,0.8402777910232544,IW-ES
deep-yogurt-1273,Cross Entropy,CelebADataModule,7,0.8444443941116333,IW-ES
atomic-thunder-1271,Poly-tailed Loss,CelebADataModule,6,0.8249999284744263,IW-ES
ethereal-terrain-1267,Cross Entropy,CelebADataModule,6,0.8930554986000061,IW-ES
revived-plant-1260,Cross Entropy,CelebADataModule,5,0.8249999284744263,IW-ES
trim-wildflower-1259,Poly-tailed Loss,CelebADataModule,5,0.8111110925674438,IW-ES
smart-glitter-1257,Poly-tailed Loss,CelebADataModule,2,0.8527777194976807,IW-ES
fanciful-water-1256,Poly-tailed Loss,CelebADataModule,4,0.7972221970558167,IW-ES
hardy-plasma-1255,Cross Entropy,CelebADataModule,4,0.8527777194976807,IW-ES
fiery-sky-1252,Poly-tailed Loss,CelebADataModule,3,0.8583332896232605,IW-ES
confused-dew-1248,Cross Entropy,CelebADataModule,3,0.8347221612930298,IW-ES
driven-pine-1243,Cross Entropy,CelebADataModule,2,0.8694444298744202,IW-ES
vivid-lion-1238,Poly-tailed Loss,CelebADataModule,1,0.8486109972000122,IW-ES
restful-brook-1236,Cross Entropy,CelebADataModule,1,0.8388888239860535,IW-ES
young-silence-1228,Poly-tailed Loss,CelebADataModule,0,0.819444477558136,IW-ES
jolly-darkness-1227,Cross Entropy,CelebADataModule,0,0.8708332777023315,IW-ES
classic-leaf-1694,Cross Entropy,ImbalancedCIFAR10DataModule,9,0.578499972820282,IW-Exp
drawn-voice-1693,Poly-tailed Loss,ImbalancedCIFAR10DataModule,9,0.6299999952316284,IW-Exp
logical-planet-1690,Cross Entropy,ImbalancedCIFAR10DataModule,8,0.575999915599823,IW-Exp
misunderstood-water-1689,Poly-tailed Loss,ImbalancedCIFAR10DataModule,8,0.6474999785423279,IW-Exp
sandy-wood-1686,Cross Entropy,ImbalancedCIFAR10DataModule,7,0.5639999508857727,IW-Exp
distinctive-feather-1685,Poly-tailed Loss,ImbalancedCIFAR10DataModule,7,0.612500011920929,IW-Exp
giddy-paper-1684,Cross Entropy,ImbalancedCIFAR10DataModule,6,0.5649999380111694,IW-Exp
fine-wave-1681,Poly-tailed Loss,ImbalancedCIFAR10DataModule,6,0.6184999942779541,IW-Exp
jumping-durian-1678,Cross Entropy,ImbalancedCIFAR10DataModule,5,0.6150000095367432,IW-Exp
restful-water-1677,Poly-tailed Loss,ImbalancedCIFAR10DataModule,5,0.6549999713897705,IW-Exp
astral-waterfall-1603,Poly-tailed Loss,CelebADataModule,9,0.8444443941116333,IW-Exp
zany-thunder-1598,Poly-tailed Loss,CelebADataModule,8,0.8236110806465149,IW-Exp
legendary-microwave-1597,Poly-tailed Loss,CelebADataModule,7,0.8375000357627869,IW-Exp
zesty-tree-1595,Poly-tailed Loss,CelebADataModule,6,0.8263888359069824,IW-Exp
faithful-planet-1593,Poly-tailed Loss,CelebADataModule,5,0.8152777552604675,IW-Exp
rosy-leaf-1591,Poly-tailed Loss,CelebADataModule,4,0.8444443941116333,IW-Exp
dainty-thunder-1590,Poly-tailed Loss,CelebADataModule,3,0.8166666030883789,IW-Exp
desert-moon-1586,Poly-tailed Loss,CelebADataModule,2,0.8194443583488464,IW-Exp
usual-energy-1582,Poly-tailed Loss,CelebADataModule,0,0.8138888478279114,IW-Exp
gallant-pyramid-1576,Poly-tailed Loss,CelebADataModule,1,0.8263888359069824,IW-Exp
rural-planet-1572,Cross Entropy,CelebADataModule,9,0.7833333611488342,IW-Exp
misty-brook-1567,Cross Entropy,CelebADataModule,7,0.7902777194976807,IW-Exp
true-pyramid-1571,Cross Entropy,CelebADataModule,4,0.8027777671813965,IW-Exp
bumbling-dawn-1569,Cross Entropy,CelebADataModule,2,0.7819444537162781,IW-Exp
neat-water-1568,Cross Entropy,CelebADataModule,6,0.7819443345069885,IW-Exp
atomic-morning-1570,Cross Entropy,CelebADataModule,3,0.7638888955116272,IW-Exp
soft-sponge-1566,Cross Entropy,CelebADataModule,0,0.805555522441864,IW-Exp
fanciful-morning-1565,Cross Entropy,CelebADataModule,5,0.7847221493721008,IW-Exp
restful-darkness-1564,Cross Entropy,CelebADataModule,1,0.7819443345069885,IW-Exp
soft-water-1563,Cross Entropy,CelebADataModule,8,0.7916666269302368,IW-Exp
different-gorge-1557,Cross Entropy,ImbalancedCIFAR10DataModule,4,0.5389999747276306,IW-Exp
deft-dream-1555,Poly-tailed Loss,ImbalancedCIFAR10DataModule,4,0.5974999666213989,IW-Exp
zany-terrain-1551,Cross Entropy,ImbalancedCIFAR10DataModule,3,0.5549999475479126,IW-Exp
snowy-sun-1547,Poly-tailed Loss,ImbalancedCIFAR10DataModule,3,0.6344999074935913,IW-Exp
silvery-eon-1541,Cross Entropy,ImbalancedCIFAR10DataModule,2,0.5869999527931213,IW-Exp
smart-violet-1539,Poly-tailed Loss,ImbalancedCIFAR10DataModule,2,0.6469999551773071,IW-Exp
easy-shadow-1534,Poly-tailed Loss,ImbalancedCIFAR10DataModule,1,0.6315000057220459,IW-Exp
fresh-butterfly-1527,Cross Entropy,ImbalancedCIFAR10DataModule,1,0.5849999785423279,IW-Exp
confused-water-1525,Cross Entropy,ImbalancedCIFAR10DataModule,0,0.575999915599823,IW-Exp
polar-monkey-1524,Poly-tailed Loss,ImbalancedCIFAR10DataModule,0,0.6284999847412109,IW-Exp
daily-forest-1696,Cross Entropy,ImbalancedCIFAR10DataModule,9,0.6060000061988831,IW-Exp-ES
denim-glitter-1695,Poly-tailed Loss,ImbalancedCIFAR10DataModule,9,0.6445000171661377,IW-Exp-ES
restful-silence-1691,Poly-tailed Loss,ImbalancedCIFAR10DataModule,8,0.6269999742507935,IW-Exp-ES
fast-snowflake-1692,Cross Entropy,ImbalancedCIFAR10DataModule,8,0.6195000410079956,IW-Exp-ES
rose-haze-1688,Cross Entropy,ImbalancedCIFAR10DataModule,7,0.5879999995231628,IW-Exp-ES
fluent-sky-1687,Poly-tailed Loss,ImbalancedCIFAR10DataModule,7,0.6179999709129333,IW-Exp-ES
comic-frog-1682,Poly-tailed Loss,ImbalancedCIFAR10DataModule,6,0.6239999532699585,IW-Exp-ES
frosty-frost-1683,Cross Entropy,ImbalancedCIFAR10DataModule,6,0.6204999685287476,IW-Exp-ES
scarlet-lion-1680,Cross Entropy,ImbalancedCIFAR10DataModule,5,0.653999924659729,IW-Exp-ES
decent-galaxy-1679,Poly-tailed Loss,ImbalancedCIFAR10DataModule,5,0.6635000109672546,IW-Exp-ES
dashing-morning-1602,Poly-tailed Loss,CelebADataModule,9,0.831944465637207,IW-Exp-ES
quiet-dragon-1600,Poly-tailed Loss,CelebADataModule,8,0.8486109972000122,IW-Exp-ES
valiant-breeze-1599,Poly-tailed Loss,CelebADataModule,7,0.8847221732139587,IW-Exp-ES
floral-sunset-1596,Poly-tailed Loss,CelebADataModule,6,0.8652777671813965,IW-Exp-ES
copper-wildflower-1594,Poly-tailed Loss,CelebADataModule,5,0.8624999523162842,IW-Exp-ES
pleasant-oath-1592,Poly-tailed Loss,CelebADataModule,4,0.8902777433395386,IW-Exp-ES
valiant-thunder-1589,Poly-tailed Loss,CelebADataModule,3,0.8611111044883728,IW-Exp-ES
graceful-bird-1588,Poly-tailed Loss,CelebADataModule,2,0.8930554986000061,IW-Exp-ES
morning-sky-1587,Poly-tailed Loss,CelebADataModule,1,0.8361111283302307,IW-Exp-ES
fiery-grass-1578,Cross Entropy,CelebADataModule,5,0.8736111521720886,IW-Exp-ES
azure-terrain-1583,Cross Entropy,CelebADataModule,9,0.8166666030883789,IW-Exp-ES
floral-dragon-1585,Poly-tailed Loss,CelebADataModule,0,0.8208332657814026,IW-Exp-ES
easy-bush-1579,Cross Entropy,CelebADataModule,4,0.8347222208976746,IW-Exp-ES
stellar-yogurt-1580,Cross Entropy,CelebADataModule,8,0.8666666746139526,IW-Exp-ES
comic-donkey-1581,Cross Entropy,CelebADataModule,6,0.831944465637207,IW-Exp-ES
avid-serenity-1577,Cross Entropy,CelebADataModule,3,0.8500000238418579,IW-Exp-ES
grateful-wind-1584,Cross Entropy,CelebADataModule,7,0.8666666746139526,IW-Exp-ES
wobbly-breeze-1573,Cross Entropy,CelebADataModule,1,0.8347222208976746,IW-Exp-ES
easy-plant-1575,Cross Entropy,CelebADataModule,0,0.8750000596046448,IW-Exp-ES
firm-pyramid-1574,Cross Entropy,CelebADataModule,2,0.8638888597488403,IW-Exp-ES
worldly-snowflake-1561,Poly-tailed Loss,ImbalancedCIFAR10DataModule,4,0.6009998917579651,IW-Exp-ES
iconic-brook-1559,Cross Entropy,ImbalancedCIFAR10DataModule,4,0.5704999566078186,IW-Exp-ES
fluent-plasma-1553,Cross Entropy,ImbalancedCIFAR10DataModule,3,0.5849999785423279,IW-Exp-ES
royal-sponge-1550,Poly-tailed Loss,ImbalancedCIFAR10DataModule,3,0.6334999799728394,IW-Exp-ES
treasured-moon-1543,Poly-tailed Loss,ImbalancedCIFAR10DataModule,2,0.6394999623298645,IW-Exp-ES
revived-durian-1545,Cross Entropy,ImbalancedCIFAR10DataModule,2,0.625,IW-Exp-ES
earthy-glitter-1537,Cross Entropy,ImbalancedCIFAR10DataModule,1,0.6184999942779541,IW-Exp-ES
vivid-lion-1529,Poly-tailed Loss,ImbalancedCIFAR10DataModule,0,0.6299999952316284,IW-Exp-ES
peachy-plasma-1532,Poly-tailed Loss,ImbalancedCIFAR10DataModule,1,0.6654999852180481,IW-Exp-ES
lemon-sun-1531,Cross Entropy,ImbalancedCIFAR10DataModule,0,0.6324999332427979,IW-Exp-ES
